1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.745523	0.000000	6.085013	0.040185	250
1	-0.766295	0.000000	6.085013	0.043545	1
2	-0.794635	0.000000	6.085013	0.027156	16
3	-0.731267	0.000000	6.085013	0.010669	0
4	-0.763149	0.854955	5.846971	0.052082	0
5	-0.764102	0.346848	5.986143	0.047106	0
6	-0.758414	0.000000	6.085013	0.041101	0
7	-0.786153	1.000000	5.808422	0.082055	0
8	-0.788518	1.999997	5.555882	0.021154	0
9	-0.764439	2.999997	5.324387	0.042628	0
10	-0.764584	2.491102	5.439731	0.047180	0
11	-0.762865	3.491102	5.217621	0.038306	0
12	-0.749225	4.491102	5.012937	0.033281	0
13	-0.757743	3.986029	5.114269	0.052797	0
14	-0.791752	4.986029	4.917461	0.028041	0
15	-0.764833	5.986029	4.735238	0.020410	0
16	-0.758951	6.984214	4.566335	0.019997	0
17	-0.773442	6.775345	4.600673	0.018113	0
18	-0.787433	7.742899	4.445803	0.050264	0
19	-0.780879	8.742829	4.296339	0.050210	16
20	-0.769966	9.742829	4.156588	0.015204	0
21	-0.764253	9.232746	4.226718	0.024168	0
22	-0.781078	8.737141	4.297161	0.044940	0
23	-0.767304	8.245437	4.369409	0.026768	0
24	-0.761756	9.245436	4.224944	0.037045	0
25	-0.785102	8.735343	4.297421	0.045319	15
26	-0.736579	9.735290	4.157608	0.036824	0
27	-0.755951	10.735290	4.026599	0.029967	0
28	-0.747254	11.735251	3.903599	0.048581	0
29	-0.800694	12.735057	3.787908	0.033392	0
30	-0.771738	12.224964	3.846062	0.047190	0
31	-0.783965	13.145741	3.742349	0.053354	0
32	-0.781616	14.145741	3.635868	0.028801	0
33	-0.747445	13.635648	3.689415	0.039785	0
34	-0.780915	13.126402	3.744470	0.049981	0
35	-0.762522	14.126345	3.637876	0.034951	0
36	-0.788303	13.616254	3.691482	0.037920	16
37	-0.790902	14.616253	3.587836	0.016533	0
38	-0.748628	15.595225	3.491857	0.008780	0
39	-0.753040	15.175699	3.532351	0.020592	0
40	-0.766258	15.933083	3.459914	0.022217	0
41	-0.777650	15.919673	3.461170	0.029336	0
42	-0.761488	16.631872	3.395666	0.019589	0
43	-0.766453	16.124817	3.442045	0.023225	0
44	-0.767120	16.078840	3.446313	0.041034	0
45	-0.757182	15.568750	3.494385	0.051737	0
46	-0.775991	16.568750	3.401372	0.028357	0
47	-0.795307	17.568749	3.313182	0.054570	0
48	-0.773352	18.568749	3.229450	0.022357	16
49	-0.782113	19.568735	3.149846	0.024835	0
50	-0.750490	19.060610	3.189799	0.053081	0
51	-0.794725	20.060610	3.112114	0.056555	0
52	-0.789204	19.550516	3.151262	0.057280	0
53	-0.744137	20.550516	3.075420	0.065511	0
54	-0.765278	21.550516	3.003143	0.025820	15
55	-0.774808	22.550516	2.934185	0.040594	0
56	-0.769854	23.406186	2.877646	0.039298	0
57	-0.794298	24.406186	2.814270	0.031304	0
58	-0.766792	25.381780	2.755075	0.065500	0
59	-0.781538	24.871686	2.785711	0.051620	0
60	-0.740726	24.361593	2.817037	0.023062	0
61	-0.746751	25.361582	2.756275	0.065309	0
62	-0.756061	24.851488	2.786939	0.017718	0
63	-0.770624	25.850863	2.727490	0.012705	0
64	-0.729670	26.344900	2.699029	0.022200	0
65	-0.754493	25.864762	2.726682	0.021195	16
66	-0.773259	26.778050	2.674560	0.009382	0
67	-0.787184	27.489913	2.635296	0.036672	0
68	-0.769215	28.452919	2.583979	0.021290	0
69	-0.744387	29.366657	2.537101	0.037520	0
70	-0.782249	28.857603	2.563005	0.018501	0
71	-0.758470	29.857425	2.512618	0.017870	15
72	-0.768725	30.836716	2.465150	0.021633	0
73	-0.793666	30.335512	2.489218	0.015362	0
74	-0.751990	29.831703	2.513889	0.035531	0
75	-0.764618	30.787146	2.467510	0.045652	0
76	-0.772351	30.277052	2.492056	0.023359	0
77	-0.774079	31.276571	2.444408	0.026913	0
78	-0.747702	32.119559	2.405616	0.006166	0
79	-0.753448	31.830781	2.418766	0.030042	0
80	-0.757115	31.733370	2.423234	0.042038	0
81	-0.782832	31.223282	2.446903	0.031409	0
82	-0.813265	30.713190	2.471038	0.041795	15
83	-0.757296	31.713188	2.424161	0.021010	0
84	-0.788665	31.204122	2.447801	0.032096	0
85	-0.782170	32.064625	2.408107	0.031311	0
86	-0.786406	33.064613	2.363566	0.007859	0
87	-0.756706	32.574265	2.385199	0.018652	0
88	-0.763044	33.282934	2.354060	0.029552	16
89	-0.763675	32.778536	2.376139	0.031813	0
90	-0.803214	33.759652	2.333566	0.015748	0
91	-0.769620	33.287784	2.353850	0.033586	0
92	-0.761901	32.860375	2.372529	0.012281	0
93	-0.754891	33.718312	2.335329	0.011714	0
94	-0.770925	34.172283	2.316114	0.016464	0
95	-0.745716	34.941242	2.284277	0.056532	0
96	-0.771291	34.433713	2.305191	0.019221	0
97	-0.766460	33.923621	2.326600	0.039529	0
98	-0.779369	34.923583	2.284998	0.040346	0
99	-0.771117	34.419827	2.305768	0.047572	0
100	-0.775043	35.419827	2.264900	0.005979	0
101	-0.781973	35.130184	2.276588	0.013851	0
102	-0.792287	35.113054	2.277283	0.055882	0
103	-0.772834	35.920674	2.244971	0.039160	0
104	-0.781546	36.920674	2.206212	0.024418	0
105	-0.746418	36.414889	2.225647	0.036314	16
106	-0.761204	35.905283	2.245579	0.036625	0
107	-0.793479	36.905283	2.206798	0.032841	0
108	-0.775631	37.905281	2.169335	0.015296	0
109	-0.776688	37.408389	2.187790	0.012332	0
110	-0.761698	37.385085	2.188663	0.098039	0
111	-0.752216	38.385084	2.151808	0.033534	15
112	-0.760476	37.874991	2.170451	0.055466	0
113	-0.772540	38.874991	2.134201	0.011172	0
114	-0.767917	39.396104	2.115787	0.036874	0
115	-0.742693	38.963576	2.131048	0.049367	0
116	-0.754713	39.963576	2.096092	0.013803	0
117	-0.762607	40.413302	2.080743	0.034042	0
118	-0.778626	40.225208	2.087135	0.018170	0
119	-0.787632	41.020812	2.060361	0.031539	0
120	-0.795128	41.937764	2.030344	0.014537	0
121	-0.733352	41.823085	2.034050	0.034867	0
122	-0.786336	41.318752	2.050511	0.018023	1
123	-0.771817	42.293384	2.018936	0.024536	2
124	-0.763022	42.551215	2.010745	0.027264	1
125	-0.781638	42.042648	2.026966	0.046155	1
126	-0.720843	43.042646	1.995315	0.029281	2
127	-0.747915	42.532560	2.011335	0.041318	2
128	-0.769453	42.022467	2.027615	0.057081	1
129	-0.765234	41.513843	2.044112	0.033857	1
130	-0.758989	41.004984	2.060887	0.047177	2
131	-0.771600	42.004984	2.028177	0.046382	2
132	-0.744305	43.004984	1.996490	0.017353	1
133	-0.777898	42.518361	2.011785	0.038171	1
134	-0.773949	42.057487	2.026489	0.032865	2
135	-0.753038	41.556087	2.042731	0.045291	17
136	-0.751189	42.556087	2.010591	0.042407	0
137	-0.757861	43.546443	1.979742	0.011675	0
138	-0.770461	43.286269	1.987754	0.015970	0
139	-0.749795	43.499418	1.981185	0.027193	0
140	-0.779010	44.488889	1.951251	0.041052	0
141	-0.792360	43.978799	1.966569	0.032923	15
142	-0.772106	44.978799	1.936763	0.031360	0
143	-0.769104	45.975813	1.907932	0.062314	0
144	-0.758092	46.975813	1.879864	0.022990	0
145	-0.775685	47.975813	1.852610	0.029022	0
146	-0.762803	47.465875	1.866408	0.034585	0
147	-0.736809	46.955800	1.880418	0.063819	16
148	-0.754501	47.955800	1.853148	0.018216	0
149	-0.744669	48.954655	1.826687	0.004894	0
150	-0.795725	49.100839	1.822878	0.027617	0
151	-0.764494	49.776318	1.805481	0.021562	0
152	-0.777366	49.267917	1.818544	0.025619	0
153	-0.771843	50.265944	1.793076	0.036786	0
154	-0.776965	49.755852	1.806003	0.048692	0
155	-0.748258	50.755852	1.780834	0.014021	0
156	-0.776329	51.684474	1.758082	0.028329	0
157	-0.772770	51.188917	1.770151	0.003840	0
158	-0.785757	51.344403	1.766346	0.038632	1
159	-0.783708	50.940461	1.776264	0.014020	0
160	-0.762278	51.935908	1.752022	0.020219	0
161	-0.784916	52.385080	1.741298	0.018899	0
162	-0.781978	53.371269	1.718208	0.029480	0
