1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.340761	0.000000	136.222245	0.006498	92
1	-0.353076	0.000000	136.222245	0.003293	2
2	-0.343878	0.000000	136.222245	0.005403	1
3	-0.355378	0.000000	136.222245	0.005098	1
4	-0.348069	0.000000	136.222245	0.002652	3
5	-0.356676	0.000000	136.222245	0.004510	1
6	-0.337620	0.000000	136.222245	0.003509	1
7	-0.368272	0.000000	136.222245	0.003307	2
8	-0.350998	0.000000	136.222245	0.003785	1
9	-0.379421	0.000000	136.222245	0.005567	2
10	-0.375183	0.000000	136.222245	0.004185	2
11	-0.390888	0.000000	136.222245	0.005789	1
12	-0.365621	0.000000	136.222245	0.004893	2
13	-0.364591	0.000000	136.222245	0.003792	1
14	-0.370491	0.000000	136.222245	0.004397	2
15	-0.373907	0.000000	136.222245	0.003041	1
16	-0.370558	1.000000	130.030325	0.005630	2
17	-0.393116	2.000000	124.376833	0.005896	0
18	-0.386108	1.852801	125.177966	0.003585	2
19	-0.400797	1.705602	125.989487	0.005505	1
20	-0.386674	1.558403	126.811598	0.002651	2
21	-0.387628	2.558193	121.429819	0.004681	1
22	-0.372948	3.558193	116.485245	0.004189	1
23	-0.397296	3.410994	117.187654	0.003438	2
24	-0.413513	4.410994	112.575963	0.003722	1
25	-0.376449	5.410994	108.313497	0.003214	1
26	-0.390192	5.263795	108.920554	0.001437	1
27	-0.393538	5.117707	109.529798	0.002789	2
28	-0.380898	6.117699	105.490778	0.004315	1
29	-0.396548	5.970500	106.066523	0.004800	2
30	-0.389665	6.970500	102.274438	0.002592	1
31	-0.407768	7.970496	98.744156	0.002445	1
32	-0.382037	7.826380	99.237821	0.002936	2
33	-0.408764	8.826380	95.910638	0.000935	1
34	-0.392820	9.819233	92.820841	0.001833	2
35	-0.399361	9.685800	93.224461	0.002186	1
36	-0.404580	10.569540	90.614789	0.003827	2
37	-0.369434	11.569396	87.832980	0.004332	1
38	-0.370364	11.422197	88.231748	0.001662	2
39	-0.387573	11.275273	88.633399	0.002216	1
40	-0.379830	11.275049	88.634013	0.001640	1
41	-0.396771	12.275048	85.970338	0.003749	2
42	-0.374848	12.127849	86.352335	0.003433	1
43	-0.376033	11.980737	86.737515	0.003592	2
44	-0.376493	12.980737	84.184966	0.003042	1
45	-0.395824	13.980737	81.778356	0.003585	2
46	-0.375873	14.980737	79.505519	0.002349	1
47	-0.403534	14.881303	79.725844	0.002982	1
48	-0.396342	15.881297	77.564169	0.005327	1
49	-0.403802	16.881251	75.516701	0.001328	1
50	-0.363641	16.734053	75.811289	0.003156	2
51	-0.408299	16.586854	76.108182	0.002740	1
52	-0.380764	17.586854	74.135796	0.003825	2
53	-0.397212	17.439655	74.419688	0.003915	1
54	-0.395615	18.439655	72.532763	0.001777	1
55	-0.377041	19.439655	70.739158	0.002178	2
56	-0.379193	19.292456	70.997587	0.002695	2
57	-0.382278	19.145257	71.257910	0.003086	1
58	-0.376983	20.145257	69.526048	0.005118	2
59	-0.390304	20.199181	69.435049	0.004674	1
60	-0.384879	21.199181	67.789637	0.001544	2
61	-0.394026	22.199181	66.220403	0.002568	1
62	-0.394329	23.074233	64.905660	0.002153	2
63	-0.413533	22.927104	65.123053	0.003374	1
64	-0.400746	23.689208	64.012483	0.005540	1
65	-0.384323	24.689208	62.611441	0.004291	1
66	-0.383740	25.689208	61.270415	0.003503	1
67	-0.381096	25.542009	61.464196	0.005408	2
68	-0.385329	26.542009	60.171356	0.003127	1
69	-0.375567	26.394810	60.358237	0.003069	2
70	-0.383306	26.247694	60.546175	0.001980	1
71	-0.391502	27.192586	59.359071	0.002292	1
72	-0.404904	28.190096	58.155348	0.002395	2
73	-0.376756	29.190096	56.996647	0.001962	1
74	-0.389778	29.042897	57.164300	0.004498	2
75	-0.369418	30.040365	56.047153	0.001321	1
